Question ID,ID,Created,Case,Model,Component,Component Description,Question,Photos,Status,Assigned to:,Answer,Answer Date,Doc360 URL
Q - 196,196,6/24/25,,"101 - Standard Complete Platinum,102 - Commercial,103 - PRO,104 - Commercial PRO,105 - Classic*,106 - Commander Pro,""107 - Commercial Pro 8"""" Jetpath"",109 - Commander*,110 - Commercial Pro*,111 - XL*,112 - Z-10*",,,Can Cyclone Rake connect to a finishing mower?,,Answered,,"Thanks for reaching out with your question! I'm happy to help you with this.

A finishing mower isn't compatible with the Cyclone Rake system. Since finishing mowers are pulled behind the tractor rather than mounted beneath it, there's no way to properly connect the Cyclone Rake’s hitch and deck hose to that setup.

The Cyclone Rake is designed to work with mid- or rear-discharge mower decks that are mounted directly under the tractor chassis.

You can find more compatibility details in this article:
Cyclone Rake Mower Compatibility Guide

Let me know if there is a different kind of tractor and mower that can be used and I'd be glad to confirm if there's a setup that would work for you.",,https://cyclopedia.cyclonerake.com/docs/cyclone-rake-mower-compatibility-guide
Q - 169,169,6/24/25,,111 - XL*,01-01-1978 | Key - Electric Start,", 01-01-1978",What is the part number for Replacement Key for a Electric Start Engine? ,,Answered,,"Thank you so much for reaching out with your question! I'm happy to help you with this.

The correct replacement key for your Cyclone Rake electric start engine is:

Part #01-01-1978 – Key, Electric Start

If you need help with anything else, please let me know!",7/24/25,
Q - 133,133,6/24/25,,107 - Commercial PRO JetPath,"""05-03-308 | Commercial PRO, XL & Z-10 Collector Bag - Velcro""",", 05-03-308",What is the part number for replacement collector bag for the 107 - Commercial PRO JetPath Commercial Pro model? ,,Answered,,"Thanks for reaching out with your question! I’m happy to help you with this.

The replacement collector bag for the 107 – Commercial PRO model is part #05-03-308.

You can view or order it here:
Commercial PRO, XL, and Z-10 Collector Bag – Velcro Style

Let me know if you need anything else to get your setup back in top shape!",,
Q - 147,147,6/24/25,,"""107 - Commercial Pro 8"""" JetPath""","""02-03-020 | 5-Blade Orange Impeller w/hardware kit - for B&S Intek, Phase 1 & 2 Vanguard""","Replacement Impeller Option 2, 02-03-020","What is the part number for replacement Impeller for a          107 - Commercial PRO JetPath Commercial Pro 8"" (Intek Model)? ",,Answered,,"Thank you so much for reaching out with your question! I'm happy to help you with this.

The correct replacement impeller for the 107 – Commercial PRO JetPath with the 7HP Intek engine is part number 02-03-020. This is the 5-blade orange impeller, and it includes the full hardware kit for installation.

If you need any help with removing the old impeller or installing the new one, I’d be glad to guide you through it.

You can also view available parts here:
Commercial PRO Replacement Parts",,
Q - 170,170,6/24/25,,101 - Standard Complete Platinum,01-02-126 | 4 Caster wheels with nuts & washers for motor frame,", 01-02-126",What is the part number for Replacement Caster Wheels for Engine/Motor Frame? ,,Answered,,"Thank you so much for reaching out with your question! I'm happy to help you with this.

The correct part number for replacement caster wheels for your Cyclone Rake Engine/Motor Frame is:

Part #01-02-126 – 4 Caster Wheels with Nuts and Washers (Motor Frame)

If you have any additional questions, please feel free to ask!",7/24/25,
Q - 174,174,6/24/25,,111 - XL*,,,What is the part number for Replacement Chassis for  XL? ,,Answered,,"Thank you so much for reaching out with your question! I'm happy to help you with this.

The correct replacement chassis for your Cyclone Rake XL model is:

Part #02-04-700A – Large Chassis Unit Complete (36-3/4 inches wide)

Please let me know if you have any other questions or if there's anything else I can do for you!",7/25/25,
Q - 177,177,6/24/25,,105 - Classic*,01-03-360 | Top Brace Assy Complete- Classic,"Replacement Top Brace, 01-03-360",What is the part number for Top Brace Assembly with hardware?,,Answered,,"Thank you so much for reaching out with your question! I'm happy to help you with this.

The correct replacement part for the Top Brace Assembly specifically for your Cyclone Rake Classic is:

Part #01-03-360 – Top Brace with Brackets (34.8"" Long) - Classic

Please let me know if you have any other questions or need further assistance!",7/25/25,
Q - 222,222,6/24/25,,,,,Can the Cyclone Rake be used with an electric mower?,,Answered,,"Thanks for reaching out with your question! I'm happy to help you with this.

The Cyclone Rake can work with some electric mowers, but there are important factors to consider. Because electric mowers come in many styles—rear-engine, zero-turn, mid-mount, etc.—compatibility depends on your specific setup.

Key things to check:
Discharge Type: Your mower must have a rear or side discharge deck (not mulching only).

Power Capacity: The mower must be able to handle the added load of towing the Cyclone Rake and collecting debris.

Hitch Mounting: Your electric mower needs a standard rear hitch to connect the Cyclone Rake.

Battery Life: Keep in mind that hauling the rake may reduce your run time significantly.

We recommend sending us your mower’s make and model so we can check compatibility for you.

You can also read more details here:
Using Cyclone Rake with Electric Mowers – Important Considerations

Let me know what kind of mower you're using—I’d be glad to take a closer look!",,https://cyclopedia.cyclonerake.com/docs/using-cyclone-rake-with-electric-mowers-important-considerations
Q - 210,210,6/24/25,,101 - Standard Complete Platinum,,,Can I purchase just the MDA hardware pack? (Skin board hardware part numbers),,Answered,,"Thank you so much for reaching out with your question! I'm happy to help you with this.

Yes, you can absolutely purchase just the hardware pack for your Mower Deck Adapter (MDA) without buying the full adapter. It’s a great option if you’re replacing worn parts or just want to keep some extras on hand.

To get the right hardware set, we’ll need:
Your mower’s make and model

Your mower deck size

Your current MDA model (if you're replacing an existing setup)

Once we have that info, we can quickly look up the correct part number for you and help place your order.

You can give us a call, request a callback, or reach out through our Contact Us page—whatever’s easiest for you!",,
Q - 215,215,6/24/25,,111 - XL*,,,Can I Use A Regular Charger For My Electric Start Engine Battery?,,Answered,,"Thanks for reaching out with your question! I'm happy to help you with this.

For your electric start engine battery, it’s important to use the charger we provide with your Cyclone Rake. That charger is designed with a built-in microprocessor that delivers the precise charge your battery needs.

Why this matters:
It prevents overcharging, which can shorten the battery’s life

It avoids undercharging, which can reduce performance

It ensures safe, long-term charging—especially if you're leaving it connected between uses

Using a standard or generic charger may seem convenient, but it could lead to reduced battery capacity or even damage over time.

Let me know if you need a replacement charger—we’ll be happy to help with that too.",,
Q - 146,146,6/24/25,,104 - Commercial PRO,"""02-03-020 | 5-Blade Orange Impeller w/hardware kit - for B&S Intek, Phase 1 & 2 Vanguard""",", 02-03-020",What is the part number for replacement Impeller for a          104 - Commercial PRO Commercial Pro (Intek)? ,,Answered,,"Thank you so much for reaching out with your question! I'm happy to help you with this.

For your 104 – Commercial PRO model with a Briggs & Stratton Intek 7HP engine, the correct replacement impeller is:

Part #02-03-020 – 5-Blade Orange Impeller w/ Hardware Kit
This impeller is compatible with Tecumseh, B&S Intek, and Phase I & II Vanguard engines, and provides excellent suction performance for heavy-duty use.

You can view and order the impeller here:
5-Blade Orange Impeller w/ Hardware Kit

Here’s a helpful guide for the installation process:
Replacing Your Cyclone Rake Impeller

And you can find other compatible parts for your model in our
Aftermarket Parts section.

Let me know if you have any questions or need help placing your order!",7/11/25,
Q - 218,218,6/24/25,,101 - Standard Complete Platinum,,,Can I use other companies' parts on my Cyclone Rake?,,Answered,,"Thank you so much for reaching out with your question! I'm happy to help you with this.

We do not recommend using third-party parts with your Cyclone Rake. Every component is engineered and manufactured specifically for the Cyclone Rake system, and combining it with non-original parts can compromise both performance and safety.

Here’s why:
All parts are designed to exact specs by our engineering team for maximum durability and performance

Using non-Cyclone Rake parts may lead to fitment issues, reduced performance, or damage

Most importantly, using third-party parts can void your warranty

Our in-house team is always working to improve materials and functionality, and that level of detail and quality is something we can only guarantee with our original parts.

If you need help finding the right Cyclone Rake component, just let me know—I’m happy to assist!",7/25/25,
Q - 171,171,6/24/25,,101 - Standard Complete Platinum,"""01-01-298 | Exhaust Deflector Screw, #8-3/8 Sh Metal""",", 01-01-298","What is the part number for replacement Exhaust Deflector Screw, 3/8"" sheet metal screw? ",,Answered,,"Thank you so much for reaching out with your question! I'm happy to help you with this.

The correct replacement part number for the Exhaust Deflector Screw (#8-3/8 sheet metal screw) is:

Part #01-01-298 – Exhaust Deflector Screw, #8-3/8 Sheet Metal Screw

If you need anything else, please don't hesitate to let me know!",7/25/25,
Q - 164,164,6/24/25,,110 - Commercial Pro*,"01-04-306 | Engine Upgrade Kit - 6.5 HP Vanguard Cyclonic,01-04-158 | Engine Upgrade Kit - XR950 PRO","Replacement Engine Option 2, 01-04-306, Replacement Engine Option 1, 01-04-158",What is the part number for replacement Engine for a                    110 - Commercial PRO  with a Vanguard 6.5 Phase II engine? ,,Answered,,"Thanks for reaching out about your Cyclone Rake engine replacement—I’m happy to help with this.

Based on your note, it sounds like you currently have a Vanguard 6.5HP Phase II engine on your Commercial PRO model (model 110). You’ve got two great upgrade options available:

Part #01-04-158 – Briggs & Stratton XR950 PRO Engine Upgrade Kit

Part #01-04-306 – Briggs & Stratton 6.5HP Vanguard Cyclonic Upgrade Kit

Here's a quick breakdown:
If you're replacing an original Vanguard 6.5HP Phase I or Phase II, you can choose either:

XR950 PRO Upgrade Kit (#01-04-158) – great performance and reliability

Vanguard Cyclonic Upgrade Kit (#01-04-306) – powerful, with enhanced air filtration for longer life

For more details on engine types and compatibility, you can check out this article:
Mastering Cyclone Rake Engines – A Deep Dive into Briggs & Stratton Engines

Let me know if you'd like help choosing between these two, or if you’re unsure which engine is currently on your unit.",,https://cyclopedia.cyclonerake.com/docs/mastering-cyclone-rake-engines-a-deep-dive-into-briggs-stratton-engines
Q - 189,189,6/24/25,,101 - Standard Complete Platinum,,,There's a lot of dust coming out of the collector bag vents,,Answered,,"Cyclone Rake's powerful suction is a game-changer for yard cleanup, but it can sometimes create dust that might concern some property owners. We've discovered some practical, low-tech strategies to help minimize dust generation during your lawn collection process.

Dust Reduction Techniques:

1. Timing Your Collection

Collect leaves early in the day
Ideal conditions: After light rain or when dew is present
Moisture helps naturally suppress dust particles

2. Throttle Control Management

Experiment with throttle settings
Reduce from 100% to approximately 75%

Benefits:

1. Reduces airflow
2. Minimizes dust generation
3. Maintains collection performance

Important Considerations:

1. Performance remains a priority
2. Adjust throttle carefully to avoid operational issues
3. Some dust is inevitable, especially in bare lawn areas",,
Q - 154,154,6/24/25,,110 - Commercial Pro*,"""01-03-1038 | Blower Only Replacement Kit - 8"""" Blower Inlet: Green (No Impeller, Standard Liner)"",""01-03-1068 | Blower Only Replacement Kit - 8"""" Blower Inlet: Green (No Impeller, Blue Diamond Liner)"",""01-04-038  | Blower Replacement Kit - 8"""" Blower Inlet: Green (Standard Liner, w/Impeller) Intek, Phase 1 & 2"",""01-04-068 | Blower Replacement Kit - 8"""" Blower: Green (Blue Diamond Liner, w/ Impeller) Intek, Phase 1 & 2""",", 01-03-1038, , 01-03-1068, Replacement Blower w/ Impeller Option 1, 01-04-038 , , 01-04-068",What is the part number for Replacement Blower Unit for a  110 - Commercial PRO Commercial Pro (NOT XR and Cyclonic)? ,,Answered,,"For your Cyclone Rake 110 – Commercial PRO model with a Vanguard 6.5HP Phase 1 engine, there are a few replacement blower unit options depending on what you need and whether you’d like the impeller and liner included:

Blower Only (No Impeller):

Part #01-03-1038 – Standard liner

Part #01-03-1068 – Blue Diamond liner (upgraded durability)

Blower with 5-Blade Impeller:

Part #01-04-038 – Standard liner

Part #01-04-068 – Blue Diamond liner  (upgraded durability)

Each option is fully compatible with your Cyclone Rake's Vanguard engine. If you're not sure whether you need a new impeller or liner, I’d be glad to help you figure that out.

You can review more part details here:
Commercial PRO Replacement Parts

Let me know which kit you'd like to go with or if you need help placing your order.",,
Q - 140,140,6/24/25,,112 - Z-10*,02-03-023 | 5-Blade Green Impeller w/hardware kit,", 02-03-023",What is the part number for replacement Impeller for a          Z10? ,,Answered,,"Thank you so much for reaching out with your question! I'm happy to help you with this.

For your Cyclone Rake Z-10, the correct replacement impeller is the:

5-Blade Green Impeller – Part #02-03-023

This impeller is specifically configured for the engine used in the Z-10 and is built for heavy-duty performance.

You can view and order it here:
5-Blade Green Impeller (Part #02-03-023)

If your blower housing is also worn, it may be a good time to consider a full Blower Replacement Kit, which includes the housing, impeller, and either a steel or Blue Diamond liner already installed. You can view those options here:
Blower Replacement Kits

And here’s a step-by-step guide for the impeller swap:
Replacing Your Cyclone Rake Impeller

Let me know if you'd like help ordering or confirming which setup is best for you!",,
Q - 207,207,6/24/25,,112 - Z-10*,,,Can I get a pre cut MDA? ,,Answered,,"Thank you so much for reaching out with your question! I'm happy to help you with this.

Yes, in many cases, you can get a pre-cut Mower Deck Adapter (MDA)—it just depends on your specific mower make and model.

Here’s how it works:
Pre-Cut (Custom-Cut) MDAs:
These are available for mower decks with unique or complex shapes that would be difficult to cut at home. If your mower matches one of those specific designs, we’ll send you a pre-cut MDA tailored to it.

Uncut MDAs:
For more common, rectangular-shaped deck openings, we provide uncut MDAs. Even among similar decks, there can be small differences—cutting your own ensures the best fit.
Don’t worry—it comes with clear instructions and a helpful video tutorial, and all you need are basic tools.

To confirm whether a pre-cut MDA is available for your mower, just let us know your mower’s make, model, and deck size, and we’ll look it up for you.",,https://cyclopedia.cyclonerake.com/docs/understanding-mower-deck-adapters-mda-your-connection-to-superior-performance?highlight=cut%20mda
Q - 138,138,6/24/25,,111 - XL*,02-03-023 | 5-Blade Green Impeller w/hardware kit,", 02-03-023",What is the part number for replacement Impeller for a XL? ,,Answered,,"Thank you so much for reaching out with your question! I'm happy to help you with this.

To replace the impeller in your Cyclone Rake XL you can purchase the 5-blade green impeller, configured specifically for your engine. Simply follow the link below to purchase one:

The part # for the 5-blade Green Impeller is # 02-03-023 on this PAGE. 

You can view the instruction sheet for replacing the impeller by clicking HERE.

Is your blower housing still in good shape? If not, then it may be a good idea to replace both the blower housing and impeller at the same time. We do sell blower replacement kits that come with the blower housing, impeller, and steel liner or the upgraded Blue Diamond Liner installed. You can check out your options HERE.",7/11/25,
Q - 202,202,6/24/25,,,,,Can I buy just an MDA without the Cyclone Rake?,,Answered,,"Thank you so much for reaching out with your question! I'm happy to help you with this.

Yes, you can purchase a Mower Deck Adapter (MDA) without buying a full Cyclone Rake system.

Here’s what to know:
We offer MDAs in multiple sizes to match different vacuum systems:

6-inch systems – compatible with many non-Cyclone Rake vacuums

7-inch, 8-inch, and 10-inch systems – for larger-capacity setups

Our MDAs are designed to provide smooth debris flow and reduce clogging, even when used with other brands’ equipment

Pricing & Shipping:
MDAs typically range from $139 to $169, depending on size

$30 flat-rate shipping applies

Sales tax added where applicable

If you let me know your hose diameter and mower deck type, I’d be happy to help you pick the best fit!",,
Q - 155,155,6/24/25,,112 - Z-10*,"""06-02-009 | Z-10 Safety Cover - 10"""" w/nut and bolt""",", 06-02-009",What is the part number for Replacement Safety Cover for Z10 Blower Unit? ,,Answered,,"Thank you so much for reaching out with your question! I'm happy to help you with this.

The replacement Safety Cover for the Z-10 Cyclone Rake is part number 06-02-009. This is the 10"" yellow safety cover and it comes complete with the bolt and nut needed for installation.

If you need help installing it or have any other questions about your Z10 unit, I’m here to help.

You can find more details on replacement parts here:
Z10 Blower Replacement Parts",7/14/25,
Q - 141,141,6/24/25,,101 - Standard Complete Platinum,"""02-03-017 | 4-Blade Yellow Impeller w/hardware kit Tecumseh, Intek, Phase 1 & 2 Vanguard Engines"",""02-03-020 | 5-Blade Orange Impeller w/hardware kit - for B&S Intek, Phase 1 & 2 Vanguard""",", 02-03-017, Replacement Impeller Option 2, 02-03-020",What is the part number for replacement Impeller for a          101 - Standard Complete Platinum Standard (Not XR or Cyclonic)? ,,Answered,,"Thank you so much for reaching out with your question! I'm happy to help you with this.

For your Cyclone Rake 101 – Standard Complete Platinum model with the Tecumseh 5HP engine, you have two compatible impeller options:

Part #02-03-017 – 4-blade yellow impeller with hardware kit (original style for this model)

Part #02-03-020 – 5-blade orange impeller with hardware kit (performance upgrade option)

Both options will fit your unit, so you can choose based on whether you want to stick with the original design or upgrade for improved debris shredding.

Let me know if you'd like help placing the order or deciding between the two options.",,
