variables,expected_output,metadata
"{""input"": ""What is the part number for replacement Impeller for a          104 - Commercial PRO Commercial Pro (Intek)?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your 104 – Commercial PRO model with a Briggs & Stratton Intek 7HP engine, the correct replacement impeller is:

Part #02-03-020 – 5-Blade Orange Impeller w/ Hardware Kit
This impeller is compatible with Tecumseh, B&S Intek, and Phase I & II Vanguard engines, and provides excellent suction performance for heavy-duty use.

You can view and order the impeller here:
5-Blade Orange Impeller w/ Hardware Kit

Here’s a helpful guide for the installation process:
Replacing Your Cyclone Rake Impeller

And you can find other compatible parts for your model in our
Aftermarket Parts section.

Let me know if you have any questions or need help placing your order!","{""id"": ""Q - 146""}"
"{""input"": ""Can I use other companies"" parts on my Cyclone Rake?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

We do not recommend using third-party parts with your Cyclone Rake. Every component is engineered and manufactured specifically for the Cyclone Rake system, and combining it with non-original parts can compromise both performance and safety.

Here’s why:
All parts are designed to exact specs by our engineering team for maximum durability and performance

Using non-Cyclone Rake parts may lead to fitment issues, reduced performance, or damage

Most importantly, using third-party parts can void your warranty

Our in-house team is always working to improve materials and functionality, and that level of detail and quality is something we can only guarantee with our original parts.

If you need help finding the right Cyclone Rake component, just let me know—I’m happy to assist!","{""id"": ""Q - 218""}"
"{""input"": ""What is the part number for replacement Exhaust Deflector Screw, 3/8"" sheet metal screw?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The correct replacement part number for the Exhaust Deflector Screw (#8-3/8 sheet metal screw) is:

Part #01-01-298 – Exhaust Deflector Screw, #8-3/8 Sheet Metal Screw

If you need anything else, please don't hesitate to let me know!","{""id"": ""Q - 171""}"
"{""input"": ""What is the part number for replacement Engine for a                    110 - Commercial PRO  with a Vanguard 6.5 Phase II engine?""}","Thanks for reaching out about your Cyclone Rake engine replacement—I’m happy to help with this.

Based on your note, it sounds like you currently have a Vanguard 6.5HP Phase II engine on your Commercial PRO model (model 110). You’ve got two great upgrade options available:

Part #01-04-158 – Briggs & Stratton XR950 PRO Engine Upgrade Kit

Part #01-04-306 – Briggs & Stratton 6.5HP Vanguard Cyclonic Upgrade Kit

Here's a quick breakdown:
If you're replacing an original Vanguard 6.5HP Phase I or Phase II, you can choose either:

XR950 PRO Upgrade Kit (#01-04-158) – great performance and reliability

Vanguard Cyclonic Upgrade Kit (#01-04-306) – powerful, with enhanced air filtration for longer life

For more details on engine types and compatibility, you can check out this article:
Mastering Cyclone Rake Engines – A Deep Dive into Briggs & Stratton Engines

Let me know if you'd like help choosing between these two, or if you’re unsure which engine is currently on your unit.","{""id"": ""Q - 164""}"
"{""input"": ""There""s a lot of dust coming out of the collector bag vents""}","Cyclone Rake's powerful suction is a game-changer for yard cleanup, but it can sometimes create dust that might concern some property owners. We've discovered some practical, low-tech strategies to help minimize dust generation during your lawn collection process.

Dust Reduction Techniques:

1. Timing Your Collection

Collect leaves early in the day
Ideal conditions: After light rain or when dew is present
Moisture helps naturally suppress dust particles

2. Throttle Control Management

Experiment with throttle settings
Reduce from 100% to approximately 75%

Benefits:

1. Reduces airflow
2. Minimizes dust generation
3. Maintains collection performance

Important Considerations:

1. Performance remains a priority
2. Adjust throttle carefully to avoid operational issues
3. Some dust is inevitable, especially in bare lawn areas","{""id"": ""Q - 189""}"
"{""input"": ""What is the part number for Replacement Blower Unit for a  110 - Commercial PRO Commercial Pro (NOT XR and Cyclonic)?""}","For your Cyclone Rake 110 – Commercial PRO model with a Vanguard 6.5HP Phase 1 engine, there are a few replacement blower unit options depending on what you need and whether you’d like the impeller and liner included:

Blower Only (No Impeller):

Part #01-03-1038 – Standard liner

Part #01-03-1068 – Blue Diamond liner (upgraded durability)

Blower with 5-Blade Impeller:

Part #01-04-038 – Standard liner

Part #01-04-068 – Blue Diamond liner  (upgraded durability)

Each option is fully compatible with your Cyclone Rake's Vanguard engine. If you're not sure whether you need a new impeller or liner, I’d be glad to help you figure that out.

You can review more part details here:
Commercial PRO Replacement Parts

Let me know which kit you'd like to go with or if you need help placing your order.","{""id"": ""Q - 154""}"
"{""input"": ""What is the part number for replacement Impeller for a          Z10?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your Cyclone Rake Z-10, the correct replacement impeller is the:

5-Blade Green Impeller – Part #02-03-023

This impeller is specifically configured for the engine used in the Z-10 and is built for heavy-duty performance.

You can view and order it here:
5-Blade Green Impeller (Part #02-03-023)

If your blower housing is also worn, it may be a good time to consider a full Blower Replacement Kit, which includes the housing, impeller, and either a steel or Blue Diamond liner already installed. You can view those options here:
Blower Replacement Kits

And here’s a step-by-step guide for the impeller swap:
Replacing Your Cyclone Rake Impeller

Let me know if you'd like help ordering or confirming which setup is best for you!","{""id"": ""Q - 140""}"
"{""input"": ""Can I get a pre cut MDA?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

Yes, in many cases, you can get a pre-cut Mower Deck Adapter (MDA)—it just depends on your specific mower make and model.

Here’s how it works:
Pre-Cut (Custom-Cut) MDAs:
These are available for mower decks with unique or complex shapes that would be difficult to cut at home. If your mower matches one of those specific designs, we’ll send you a pre-cut MDA tailored to it.

Uncut MDAs:
For more common, rectangular-shaped deck openings, we provide uncut MDAs. Even among similar decks, there can be small differences—cutting your own ensures the best fit.
Don’t worry—it comes with clear instructions and a helpful video tutorial, and all you need are basic tools.

To confirm whether a pre-cut MDA is available for your mower, just let us know your mower’s make, model, and deck size, and we’ll look it up for you.","{""id"": ""Q - 207""}"
"{""input"": ""What is the part number for replacement Impeller for a XL?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

To replace the impeller in your Cyclone Rake XL you can purchase the 5-blade green impeller, configured specifically for your engine. Simply follow the link below to purchase one:

The part # for the 5-blade Green Impeller is # 02-03-023 on this PAGE. 

You can view the instruction sheet for replacing the impeller by clicking HERE.

Is your blower housing still in good shape? If not, then it may be a good idea to replace both the blower housing and impeller at the same time. We do sell blower replacement kits that come with the blower housing, impeller, and steel liner or the upgraded Blue Diamond Liner installed. You can check out your options HERE.","{""id"": ""Q - 138""}"
"{""input"": ""Can I buy just an MDA without the Cyclone Rake?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

Yes, you can purchase a Mower Deck Adapter (MDA) without buying a full Cyclone Rake system.

Here’s what to know:
We offer MDAs in multiple sizes to match different vacuum systems:

6-inch systems – compatible with many non-Cyclone Rake vacuums

7-inch, 8-inch, and 10-inch systems – for larger-capacity setups

Our MDAs are designed to provide smooth debris flow and reduce clogging, even when used with other brands’ equipment

Pricing & Shipping:
MDAs typically range from $139 to $169, depending on size

$30 flat-rate shipping applies

Sales tax added where applicable

If you let me know your hose diameter and mower deck type, I’d be happy to help you pick the best fit!","{""id"": ""Q - 202""}"
"{""input"": ""What is the part number for Replacement Safety Cover for Z10 Blower Unit?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The replacement Safety Cover for the Z-10 Cyclone Rake is part number 06-02-009. This is the 10"" yellow safety cover and it comes complete with the bolt and nut needed for installation.

If you need help installing it or have any other questions about your Z10 unit, I’m here to help.

You can find more details on replacement parts here:
Z10 Blower Replacement Parts","{""id"": ""Q - 155""}"
"{""input"": ""What is the part number for replacement Impeller for a          101 - Standard Complete Platinum Standard (Not XR or Cyclonic)?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your Cyclone Rake 101 – Standard Complete Platinum model with the Tecumseh 5HP engine, you have two compatible impeller options:

Part #02-03-017 – 4-blade yellow impeller with hardware kit (original style for this model)

Part #02-03-020 – 5-blade orange impeller with hardware kit (performance upgrade option)

Both options will fit your unit, so you can choose based on whether you want to stick with the original design or upgrade for improved debris shredding.

Let me know if you'd like help placing the order or deciding between the two options.","{""id"": ""Q - 141""}"
"{""input"": ""What is the part number for replacement Impeller for a          109 - Commander Commander (Not XR or Cyclonic)?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

To replace the impeller in your Cyclone Rake Commander with a Vanguard 6.5HP Phase 1 engine, you can purchase the 4-blade yellow impeller, or you can choose the 5-blade orange impeller, which would provide you with 25% more suction power. You can follow the links below to purchase one:

Part #02-03-017 -- 4-Blade Yellow Impeller w/hardware kit -for Tecumseh, INTEK, Phase 1 & 2 Vanguard Engines

Part #02-03-020 -- 5-Blade Orange Impeller w/hardware kit - for Tecumseh, B&S Intek, Phase I & II Vanguard

You can view the instruction sheet for replacing the impeller by clicking HERE. To find other replacement parts for your Cyclone Rake you can find them in the Aftermarket Parts section of our website.","{""id"": ""Q - 139""}"
"{""input"": ""What is the tongue weight of the Cyclone Rake Commercial PRO?""}","Thanks for reaching out with your question! I'm happy to help you with this.

The tongue weight of the Cyclone Rake Commercial PRO is approximately 90 to 100 pounds when fully assembled and empty. The total assembled weight of the unit is 225 pounds.

That tongue weight is the amount of downward pressure placed on your mower’s hitch, so it's helpful to make sure your mower can handle that safely.

You can see the full specs for all models here:
Cyclone Rake Weight Specifications

Let me know if you’d like help checking compatibility with your mower!","{""id"": ""Q - 182""}"
"{""input"": ""Can I remove the key from the e-start engine once it has started?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

Yes, you can remove the key from your electric-start engine once it’s running, and the engine will continue to operate normally.

Just be sure to store the key somewhere safe, like your pocket or toolbox, so it doesn’t get misplaced while you work.

Let me know if you have any other questions!","{""id"": ""Q - 212""}"
"{""input"": ""What is the part number for replacement Engine for a                    106 - Commander PRO JetPath  with a Intek 6 HP engine?""}","Thanks for reaching out about your engine replacement—I’m happy to help with this.

If you have a Commander PRO JetPath (Model 106) with a 6HP Briggs & Stratton Intek engine, you’ve got two solid upgrade options to replace that engine:

Part #01-04-158 – Briggs & Stratton XR950 PRO Engine Upgrade Kit

Part #01-04-306 – Briggs & Stratton 6.5HP Vanguard Cyclonic Upgrade Kit

Here’s a quick summary:
Both kits are fully compatible with your Commander PRO JetPath and will replace the older Intek 6HP engine.

The XR950 PRO offers reliable performance and is an excellent all-around upgrade.

The Vanguard Cyclonic has advanced air filtration and a bit more power for tougher conditions.

You can find more details on these engine options and what sets them apart in this article:
Mastering Cyclone Rake Engines – A Deep Dive into Briggs & Stratton Engines

Let me know if you’d like help choosing between the two!","{""id"": ""Q - 166""}"
"{""input"": ""Can the Cyclone Rake connect to articulating mower?""}","Thanks for reaching out with your question! I'm happy to help you with this.

Unfortunately, the Cyclone Rake can’t be connected to articulating mowers. These machines are designed with a pivoting frame, and that constant movement causes problems for how the Cyclone Rake connects and operates.

Here’s why it won’t work:
The hose connection becomes unstable—as the deck pivots away from the engine-blower unit, the hose can pull loose or kink.

Our system relies on a fixed-length hose and Dual Pin Hitch, which work best with rigid-frame mowers to minimize clogs and hose movement.

For more details on compatible mower styles, check out this article:
Cyclone Rake Mower Compatibility Guide

If you have another mower in mind or want to double-check your setup, just let me know your model and deck size—I’ll be happy to look into it for you.","{""id"": ""Q - 225""}"
"{""input"": ""What is the part number for Replacement Safety Cover for XL Blower Unit?""}","Thanks for reaching out with your question! I’m happy to help you with this.

The replacement safety cover for the XL Blower Unit is:
Part #05-02-1160 – Safety Cover Yellow 8"" with Bolt & Nut

This part includes everything you need to securely replace the cover on your XL model’s blower housing.

Let me know if you’d like help ordering or confirming fit with your setup.","{""id"": ""Q - 156""}"
"{""input"": ""What is the tongue weight of the Cyclone Rake Commander?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The tongue weight of the Cyclone Rake Commander is approximately 90–100 pounds.

Here’s a quick breakdown of the weights:

Engine/Blower Unit: 85 pounds

Tongue Weight (Commander): 90–100 pounds

Total Assembled Weight: 200 pounds

If you have any other questions, please feel free to ask!","{""id"": ""Q - 181""}"
"{""input"": ""What is the part number for replacement Engine for a                    103 - PRO PRO?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your Cyclone Rake 103 – PRO model, you have two engine upgrade options depending on your preference:

Part #01-04-158 – Briggs & Stratton XR950 PRO Engine Upgrade Kit

Part #01-04-306 – Briggs & Stratton 6.5HP Vanguard Cyclonic Upgrade Kit

Both kits are fully compatible with your PRO unit and come with all the necessary components for a smooth replacement.

If you're not sure which engine your unit currently has or want help deciding between the two, just let me know—I’d be happy to assist.","{""id"": ""Q - 165""}"
"{""input"": ""What is Decibel Rating for XL and Z-10""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

Both the Cyclone Rake XL and Z-10 have a decibel rating of approximately 102 dB, which is about as loud as a chainsaw at 3 feet or a snowmobile.

For your safety while operating:
Always wear ear protection to prevent hearing damage

Wear eye protection to guard against flying debris

Consider using gloves and sturdy footwear for added protection

If you have any other questions about safe operation or equipment specs, feel free to ask!","{""id"": ""Q - 228""}"
