         nspname         |                   proname                    |                                                                                                                                                                                                                                                                      args                                                                                                                                                                                                                                                                       |                 result                  | vol 
 documentdb_api_catalog  | bson_build_distinct_response                 | documentdb_core.bson[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | documentdb_core.bson                    | i
 documentdb_api_catalog  | bson_distinct_agg                            | documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | documentdb_core.bson                    | i
 documentdb_api_catalog  | bson_distinct_unwind                         | documentdb_core.bson, text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | SETOF documentdb_core.bson              | i
 documentdb_api_catalog  | bson_dollar_add_fields                       | document documentdb_core.bson, pathspec documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | documentdb_core.bson                    | i
 documentdb_api_catalog  | bson_dollar_all                              | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_bits_all_clear                   | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_bits_all_set                     | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_bits_any_clear                   | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_bits_any_set                     | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_elemmatch                        | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_eq                               | documentdb_core.bson, documentdb_core.bsonquery                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_eq                               | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_exists                           | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_expr                             | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_facet_project                    | documentdb_core.bson, boolean                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | documentdb_core.bson                    | i
 documentdb_api_catalog  | bson_dollar_geointersects                    | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_geowithin                        | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_gt                               | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_gt                               | documentdb_core.bson, documentdb_core.bsonquery                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_gte                              | documentdb_core.bson, documentdb_core.bsonquery                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_gte                              | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_in                               | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_json_schema                      | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_lt                               | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_lt                               | documentdb_core.bson, documentdb_core.bsonquery                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_lte                              | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_lte                              | documentdb_core.bson, documentdb_core.bsonquery                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_mod                              | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_ne                               | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_nin                              | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_project                          | document documentdb_core.bson, pathspec documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | documentdb_core.bson                    | i
 documentdb_api_catalog  | bson_dollar_project_find                     | document documentdb_core.bson, pathspec documentdb_core.bson, queryspec documentdb_core.bson DEFAULT NULL::documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                 | documentdb_core.bson                    | i
 documentdb_api_catalog  | bson_dollar_project_geonear                  | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | documentdb_core.bson                    | i
 documentdb_api_catalog  | bson_dollar_regex                            | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_replace_root                     | document documentdb_core.bson, pathspec documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | documentdb_core.bson                    | i
 documentdb_api_catalog  | bson_dollar_set                              | document documentdb_core.bson, pathspec documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | documentdb_core.bson                    | i
 documentdb_api_catalog  | bson_dollar_size                             | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_type                             | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_dollar_unset                            | document documentdb_core.bson, pathspec documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | documentdb_core.bson                    | i
 documentdb_api_catalog  | bson_dollar_unwind                           | documentdb_core.bson, text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | SETOF documentdb_core.bson              | i
 documentdb_api_catalog  | bson_dollar_unwind                           | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | SETOF documentdb_core.bson              | i
 documentdb_api_catalog  | bson_expression_get                          | document documentdb_core.bson, expressionspec documentdb_core.bson, isnullonempty boolean DEFAULT false                                                                                                                                                                                                                                                                                                                                                                                                                                         | documentdb_core.bson                    | i
 documentdb_api_catalog  | bson_expression_map                          | document documentdb_core.bson, sourcearrayname text, expressionspec documentdb_core.bson, isnullonempty boolean DEFAULT false                                                                                                                                                                                                                                                                                                                                                                                                                   | documentdb_core.bson                    | i
 documentdb_api_catalog  | bson_geonear_distance                        | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | double precision                        | i
 documentdb_api_catalog  | bson_gist_geography_options                  | internal                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | void                                    | i
 documentdb_api_catalog  | bson_gist_geometry_2d_options                | internal                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | void                                    | i
 documentdb_api_catalog  | bson_lookup_unwind                           | documentdb_core.bson, text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | SETOF documentdb_core.bson              | i
 documentdb_api_catalog  | bson_object_agg                              | documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | documentdb_core.bson                    | i
 documentdb_api_catalog  | bson_orderby                                 | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | documentdb_core.bson                    | i
 documentdb_api_catalog  | bson_query_match                             | documentdb_core.bson, documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | boolean                                 | i
 documentdb_api_catalog  | bson_true_match                              | documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | boolean                                 | i
 documentdb_api_catalog  | bson_validate_geography                      | p_document documentdb_core.bson, p_keypath text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | documentdb_core.bson                    | i
 documentdb_api_catalog  | bson_validate_geometry                       | p_document documentdb_core.bson, p_keypath text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | documentdb_core.bson                    | i
 documentdb_api_catalog  | bsonaverage                                  | documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | documentdb_core.bson                    | i
 documentdb_api_catalog  | bsonfirst                                    | documentdb_core.bson, documentdb_core.bson[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | documentdb_core.bson                    | i
 documentdb_api_catalog  | bsonfirstn                                   | documentdb_core.bson, bigint, documentdb_core.bson[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | documentdb_core.bson                    | i
 documentdb_api_catalog  | bsonfirstnonsorted                           | documentdb_core.bson, bigint                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | documentdb_core.bson                    | i
 documentdb_api_catalog  | bsonfirstonsorted                            | documentdb_core.bson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | documentdb_core.bson                    | i
 documentdb_api_catalog  | bsonlast                                     | documentdb_core.bson, documentdb_core.bson[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | documentdb_core.bson                    | i
